id,game,start,end,text,付加的情報か,大分類,小分類,備考
10645,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,07:48,08:03,"What's been so surprising to me are the number of goals Chelsea have conceded, 19 goals this season in the Premier League, that's quite remarkable when Jose Mourinho works so hard on defending.",1.0,,,This comment contains statistics about the number of goals conceded by Chelsea in the current season.
163425,spain_laliga/2014-2015/2015-04-11 - 17-00 Real Madrid 3 - 0 Eibar,33:32,33:46,"Varane, Arbeloa, un buen centro de Arbeloa, un gran remate de Chicharito han servido para que el Real Madrid lograra el segundo tanto.",1.0,,,This comment contains specific events and statistics from the current match.
131167,italy_serie-a/2016-2017/2016-10-15 - 16-00 Napoli 1 - 3 AS Roma,12:07,12:25,Семь матчей провёл.,1.0,,,This comment refers to the number of matches played by the player.
2915,england_epl/2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal,05:13,05:15,"La verdad, lo ha comentado mucho Van Gaal.",1.0,,,This comment refers to a coach's past interviews or statements.
188976,spain_laliga/2016-2017/2016-10-15 - 17-15 Barcelona 4 - 0 Dep. La Coruna,01:55,02:29,"Esta forma de jugar obliga mucho, sobre todo a los jugadores que juegan dentro, cuando vas a robar el balón, a abrir mucho el campo rápidamente para intentar darle amplitud, para evitar que ese espacio pequeño, como ahora se están esas disputas de balones en muy poquitos sitios, el partido se juega en muy pocos metros, necesitas más amplitud, más metros y eso lo da después del robo, el abrir el campo y buscar más amplitud.",1.0,,,This comment contains tactical analysis and strategy of the game.
15037,england_epl/2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom,12:24,12:32,Johnny Evans won it against Stoke in injury time.,1.0,,,This comment contains past person stats.
32527,england_epl/2016-2017/2016-11-06 - 17-15 Liverpool 6 - 1 Watford,01:12,01:24,"The last defeat suffered by both these teams was 2-0 against Burnley, Liverpool have been on an 11-match unbeaten run since theirs, eight of them in the Premier League.",1.0,,,This comment contains past match statistics and data.
71635,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Manchester United 1 - 0 CSKA Moscow,33:14,33:24,It was aided significantly by the fact that Fernandinho and Yaya Touré were both sent off.,1.0,,,This comment contains past match statistics and events.
121919,italy_serie-a/2015-2016/2015-11-07 - 22-45 AC Milan 0 - 0 Atalanta,19:50,20:05,It might be a cauldron that produces a ton of talent in Italy but they like a different chef every so often.,1.0,,,This comment contains historical data about the number of coaches at a club.
106666,germany_bundesliga/2016-2017/2016-10-29 - 19-30 Dortmund 0 - 0 Schalke,06:17,06:24,Vergangene Woche beim 3-0 gegen Mainz.,1.0,,,This comment refers to past match statistics.
179420,spain_laliga/2015-2016/2016-04-16 - 17-00 Getafe 1 - 5 Real Madrid,17:25,17:38,"Sí, porque el Getafe cuando llega al Real Madrid, la verdad es que los tres de arriba sobre todo, más James y nuevamente Isco, pues cuando tienen el balón no se lo piensan, van directamente para arriba.",1.0,,,This comment contains tactical analysis and player performance.
182167,spain_laliga/2016-2017/2016-08-20 - 19-15 Barcelona 6 - 2 Betis,07:33,07:37,"Siete de la primera parte, 1-0.",1.0,,,This comment contains numeric information about the current match.
208599,spain_laliga/2016-2017/2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia,32:02,32:18,"Así llegó el gol y están cayendo de izquierda y de derecha, porque por adentro le cuesta mucho encontrar espacio al Real Madrid.",1.0,,,This comment contains tactical information about the team's strategy and play style.
10642,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,07:08,07:28,"Here's Coutinho, he's not been really in his best form so far this season, left out of the most recently named Brazilian squad for an upcoming game against Argentina, World Cup qualifier that too.",1.0,,,This comment contains past person stats.
156677,italy_serie-a/2016-2017/2017-04-24 - 21-45 Pescara 1 - 4 AS Roma,31:00,31:05,0-0 по-прежнему.,1.0,,,This comment refers to the current score of the game.
90250,france_ligue-1/2016-2017/2017-01-21 - 19-00 Nantes 0 - 2 Paris SG,01:44,02:00,Voilà la maîtrise parisienne au milieu avec Verratti et Thiago Mota qui a été mis vraiment sous pression par le pressing nantais et notamment Valentin Rongier.,1.0,,,This comment contains player performance and match events.
123956,italy_serie-a/2016-2017/2016-08-27 - 21-45 Napoli 4 - 2 AC Milan,19:34,19:46,"Потому что он должен убедить новое руководство в том, что это тот человек, под которого можно потратить 300 миллионов евро и купить игроков.",1.0,,,This comment contains information about the importance of the season for a specific player and the financial aspect of the team.
88581,europe_uefa-champions-league/2016-2017/2017-04-12 - 21-45 Bayern Munich 1 - 2 Real Madrid,11:34,11:40,Y ahora tiene largas posesiones.,1.0,,,This comment refers to a specific event in the current game.
15602,england_epl/2015-2016/2016-01-23 - 20-30 West Ham 2 - 2 Manchester City,11:13,11:24,"I've seen Sam Byron play a lot in the Championship, he's a very composed player, versatile as well, can play at right-back where he's gonna play here, he can play at centre-half in midfield as well.",1.0,,,This comment contains past player stats and performance.
152,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,11:56,12:02,Un Chelsea que solo ha cedido un empate en Liga.,1.0,,,This comment contains a statistic about the team's performance in the current season.
158047,italy_serie-a/2016-2017/2017-05-06 - 19-00 Napoli 3 - 1 Cagliari,32:10,32:22,День рождения.,1.0,,,This comment refers to personal information about a player.
64977,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Bayer Leverkusen 4 - 1 BATE,34:15,34:22,Очень больно.,1.0,,,"This comment refers to the injury situation of the players, which is a factual and researched information."
136182,italy_serie-a/2016-2017/2016-10-30 - 17-00 Empoli 0 - 0 AS Roma,02:28,02:40,"В результате Рюдегер вышел на левом фланге, а Эмерсон сыграет сегодня справа.",1.0,,,The comment contains information about the player positions and tactics for the current match.
106339,germany_bundesliga/2016-2017/2016-10-22 - 16-30 Ingolstadt 3 - 3 Dortmund,06:21,06:32,"Und macht nach 5,5 Jahren mal wieder ein Bundesligator das erste für den FC Ingolstadt.",1.0,,,This comment contains specific statistics about the player's goal after a long time.
180860,spain_laliga/2015-2016/2016-04-20 - 23-00 Real Madrid 3 - 0 Villarreal,43:30,43:54,"Porque tiene eso que tienen los porteros de los equipos dominadores, que a veces tiene que participar, solo a veces, pero son exigentes esas ocasiones y la verdad es que Keylor Nava reacciona fenomenalmente bien ante las oportunidades que le generan los contrarios.",1.0,,,This comment contains specific statistics and performance of a player in the current game.
4480,england_epl/2015-2016/2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,12:57,13:01,They scored in the opening seconds.,1.0,,,This comment refers to a specific event in the current game.
94190,france_ligue-1/2016-2017/2017-04-14 - 21-45 Angers 0 - 2 Paris SG,29:49,29:54,Mais ça se voyait un petit peu.,1.0,,,This comment refers to a specific event in the current game.
175142,spain_laliga/2015-2016/2015-09-26 - 19-15 Real Madrid 0 - 0 Malaga,14:20,14:36,"Bueno, yo creo que el Málaga está apretándoles arriba para que juegue el balón largo como hizo el Granada y el Real Madrid pues está controlando bien esa segunda parte del juego.",1.0,,,This comment contains tactical analysis and comparison with previous matches.
23514,england_epl/2015-2016/2016-05-07 - 17-00 Sunderland 3 - 2 Chelsea,36:57,37:04,Chelsea were comfortable 3-1 winners.,1.0,,,This comment contains factual information about the match result.
199658,spain_laliga/2016-2017/2017-02-26 - 22-45 Villarreal 2 - 3 Real Madrid,40:48,40:50,La mano de Samu Castillejo.,1.0,,,This comment refers to a specific event in the current game.
2191,england_epl/2014-2015/2015-04-11 - 19-30 Burnley 0 - 1 Arsenal,05:25,05:34,"Otro primer toque, el único que da dos toques en la jugada es Alexis, luego verdad que le cae un rechace del defensor.",1.0,,,This comment refers to the number of touches in a specific play.
8122,england_epl/2015-2016/2015-09-20 - 18-00 Southampton 2 - 3 Manchester United,26:31,26:41,Offense.,1.0,,,This comment refers to a specific event in the current game.
133552,italy_serie-a/2016-2017/2016-10-26 - 21-45 Napoli 2 - 0 Empoli,00:09,00:13,У него сегодня юбилей.,1.0,,,This comment refers to a player's milestone in the current match.
762,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,00:38,00:51,Southampton имеет 46 очков в активе.,1.0,,,This comment contains supplementary information about current and past matches.
144659,italy_serie-a/2016-2017/2017-01-21 - 22-45 AC Milan 1 - 2 Napoli,18:55,19:10,"Диего Марадона посетил Неаполь, приняв участие в церемонии, которая сделала его, собственно говоря, формально символом города и команды.",1.0,,,This comment contains supplementary information about a past event related to the team or player.
4380,england_epl/2015-2016/2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,03:11,03:22,"It was all about other matters, medical matters.",1.0,,,This comment refers to off-pitch events and medical matters.
177682,spain_laliga/2015-2016/2016-03-20 - 22-30 Real Madrid 4 - 0 Sevilla,21:40,21:45,Gran parada de Sergio Rico y gran remate de Cristiano en carrera.,1.0,,,This comment refers to specific events in the current game.
184749,spain_laliga/2016-2017/2016-08-28 - 21-15 Ath Bilbao 0 - 1 Barcelona,28:57,29:01,Capítulo de falta.,1.0,,,This comment refers to a specific event in the current game.
24154,england_epl/2016-2017/2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,37:14,37:20,Some Premier League managers don't get 50 games in total.,1.0,,,This comment contains a comparison of the number of games played by a manager.
18507,england_epl/2015-2016/2016-03-02 - 23-00 Liverpool 3 - 0 Manchester City,13:57,14:07,"Neat passing, as soon as Origi plays out wide, he's got to get in the box, and I think Firmino was just in an offside position, even if he had latched onto it.",1.0,,,This comment refers to the specific events and actions in the current game.
15430,england_epl/2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom,40:57,41:01,Their home defeat against Bournemouth.,1.0,,,This comment refers to a specific match result.
43569,europe_uefa-champions-league/2014-2015/2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,11:40,11:54,Gebürtiger Brasilianer beim FC Porto wurde er eingebürgert.,1.0,,,This comment contains supplementary information about the player's nationality and previous club.
21335,england_epl/2015-2016/2016-04-09 - 17-00 Swansea 1 - 0 Chelsea,39:19,39:24,"Yes, he did, and that'll be a yellow card for the American centre-half.",1.0,,,This comment refers to a specific event in the game and provides a specific detail about a player receiving a yellow card.
20495,england_epl/2015-2016/2016-03-20 - 19-00 Manchester City 0 - 1 Manchester United,10:07,10:20,"City looking for their 50th derby win in all major competitions, United 170.",1.0,,,This comment contains historical statistics about the teams.
140362,italy_serie-a/2016-2017/2016-11-26 - 22-45 Empoli 1 - 4 AC Milan,02:51,02:58,"В полузащите 73-й номер Мануэль Локотелли, 80-й Марио Пашелевич.",1.0,,,This comment contains supplementary information about the players and their positions.
71343,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Benfica 2 - 1 Galatasaray,44:06,44:10,Tansiyonu yükseldiği anlar yaşanıyor Luizão ile.,1.0,,,This comment refers to the current game's events and players.
158691,italy_serie-a/2016-2017/2017-05-07 - 21-45 AC Milan 1 - 4 AS Roma,28:48,29:02,"Да, Милан останется на шестом месте даже в случае, если сегодня проиграет.",1.0,,,This comment contains information about the team's potential ranking based on the current match result.
69539,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Lyon 0 - 1 Valencia,34:19,34:26,Deux fois les mêmes pour deux fois quasiment un but.,1.0,,,This comment refers to specific events in the current game.
98144,germany_bundesliga/2014-2015/2015-05-09 - 16-30 Dortmund 2 - 0 Hertha Berlin,19:14,19:34,Da ist der Armenia gegen Langkamp gestoppt.,1.0,,,This comment includes data or numeric info and statistics researched from current and past matches.
67266,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Arsenal 2 - 3 Olympiakos Piraeus,24:43,24:54,"Niecelny, choć Olympiacos cały czas przy piłce.",1.0,,,This comment refers to the current game's statistics.
49809,europe_uefa-champions-league/2014-2015/2015-02-17 - 22-45 Paris SG 1 - 1 Chelsea,11:34,11:40,He was reportedly nursing an injury which made him a doubt for tonight.,1.0,,,"This comment refers to a player's injury status, which is a piece of supplementary information."
201671,spain_laliga/2016-2017/2017-03-18 - 18-15 Ath Bilbao 1 - 2 Real Madrid,09:00,09:11,"Pero no lo dudó el asistente, la jugada no valía, el gol no sube el marcador.",1.0,,,This comment refers to a specific event in the current game.
35779,england_epl/2016-2017/2016-12-11 - 19-30 Liverpool 2 - 2 West Ham,19:38,19:49,"Both times have been this year, and both times on the south coast, it was Southampton at the back end of last season, and Bournemouth a week ago.",1.0,,,This comment contains specific statistics and historical data about the team's performance.
82126,europe_uefa-champions-league/2016-2017/2016-09-28 - 21-45 Napoli 4 - 2 Benfica,00:13,00:18,Аркадьев Милик первый удар поворотом на 17 секунде нанесен.,1.0,,,This comment contains specific event data from the current match.
82455,europe_uefa-champions-league/2016-2017/2016-09-28 - 21-45 Napoli 4 - 2 Benfica,16:43,16:52,"Он в высоту и с ним, может быть, даже лучше в этом смысле, чем с Рауним Эльбиолем.",1.0,,,This comment contains supplementary information about player's physical attributes.
11182,england_epl/2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom,10:38,10:50,"Llega Alíngar, el que aparece en escena, posesión larguísima, posesión prácticamente interminable desde que comenzó el partido.",1.0,,,This comment refers to the possession statistics of the current game.
189182,spain_laliga/2016-2017/2016-10-15 - 17-15 Barcelona 4 - 0 Dep. La Coruna,23:22,23:36,"Un jugador que por cierto, aunque fuera de forma más o menos vaga, acabó sonando en ciertas informaciones periodísticas para incorporarse al FC Barcelona este pasado verano.",1.0,,,This comment contains supplementary information about a player's transfer rumors.
170201,spain_laliga/2014-2015/2015-05-17 - 20-00 Atl. Madrid 0 - 1 Barcelona,17:40,17:45,Ahí va el disparo de Messi.,1.0,,,This comment refers to a specific event in the current game.
202765,spain_laliga/2016-2017/2017-04-02 - 17-15 Real Madrid 3 - 0 Alaves,27:17,27:26,Molestias en el muslo izquierdo.,1.0,,,"This comment refers to a player's injury status, which is a specific and researched information."
43167,england_epl/2016-2017/2017-05-06 - 17-00 Leicester 3 - 0 Watford,30:50,31:02,There's been one or two stories this week suggesting that Leicester might struggle to hold on to Riyad Mahrez and also Schmeichel and Gray.,1.0,,,This comment contains transfer rumors and potential future events.
165303,spain_laliga/2014-2015/2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona,26:40,27:03,"The thing is, last season and the season before you got the impression in the last two or three months for example 2013 Barca played Bayern in the last 7-0 in aggregate got the impression of a side running on empty even though they ended up winning the league.",1.0,,,This comment contains historical statistics and comparison with past events.
112332,germany_bundesliga/2016-2017/2017-04-15 - 16-30 Dortmund 3 - 1 Eintracht Frankfurt,18:49,19:02,"Freddy Bobic hat ja drei Jahre für den BVB gespielt, besser gesagt zweieinhalb.",1.0,,,This comment contains past person stats.
148884,italy_serie-a/2016-2017/2017-02-19 - 20-00 AS Roma 4 - 1 Torino,21:12,21:20,"Но вот этот отскок от газона, он еще дополнительное ускорение придал.",1.0,,,"The comment refers to a specific event in the game, providing additional information about the ball's movement."
57640,europe_uefa-champions-league/2014-2015/2015-04-14 - 21-45 Juventus 1 - 0 Monaco,06:08,06:12,Good stop.,1.0,,,This comment refers to a specific event in the current game.
34331,england_epl/2016-2017/2016-11-26 - 18-00 Liverpool 2 - 0 Sunderland,22:22,22:28,And we've seen them being a little bit fragile at set pieces this season.,1.0,,,This comment refers to a specific weakness of the team based on past matches.
42316,england_epl/2016-2017/2017-04-26 - 21-45 Arsenal 1 - 0 Leicester,13:25,13:35,He took the big decision to leave Manchester United because there are so many top quality midfielders in the queue ahead of him at Old Trafford.,1.0,,,This comment contains past person stats and events.
160555,italy_serie-a/2016-2017/2017-05-20 - 21-45 Napoli 4 - 1 Fiorentina,31:21,31:30,Но в остальном моментов пока что у Фиорентины нет.,1.0,,,This comment refers to the number of specific events in the current game.
90057,france_ligue-1/2014-2015/2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,28:04,28:19,Marseille yet to create a genuine chance.,1.0,,,This comment refers to the current match statistics.
60532,europe_uefa-champions-league/2014-2015/2015-05-05 - 21-45 Juventus 2 - 1 Real Madrid,13:16,13:34,No he was a very unpopular successor to Antonio Conte.,1.0,,,This comment contains historical information about the coach's reception at the club.
8963,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal,43:15,43:19,C'était exactement ça au deuxième poteau.,1.0,,,This comment refers to a specific event in the current game.
97244,germany_bundesliga/2014-2015/2015-05-09 - 16-30 Bayern Munich 0 - 1 FC Augsburg,00:32,00:41,"Centro del campo para Kohl, Bayern y Altingdorf con Feulner y Svain en las bandas.",1.0,,,This comment refers to the lineup and positions of the players in the current game.
156781,italy_serie-a/2016-2017/2017-04-24 - 21-45 Pescara 1 - 4 AS Roma,39:03,39:13,"Мунтари, по-моему, получает вторую желтую карточку в этом матче.",1.0,,,This comment refers to a specific event in the current game.
103009,germany_bundesliga/2015-2016/2016-01-31 - 19-30 Bayern Munich 2 - 0 Hoffenheim,42:11,42:19,Neuer ist gefordert.,1.0,,,This comment contains statistical information about the average number of shots allowed by Bayern Munich per game.
79826,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Malmo FF 0 - 5 Paris SG,30:54,30:56,Qui n'avait pas très très beau moment de but.,1.0,,,This comment refers to a player's past performance.
39051,england_epl/2016-2017/2017-01-02 - 18-00 Sunderland 2 - 2 Liverpool,30:11,30:18,"Just dipping in, you can see another clear one.",1.0,,,This comment refers to the number of specific events in the current game.
64328,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 AS Roma 1 - 1 Barcelona,38:35,38:40,1-1 on goals.,1.0,,,This comment contains current match statistics.
24361,england_epl/2016-2017/2016-08-20 - 17-00 Burnley 2 - 0 Liverpool,05:14,05:17,Andre Gray passing to Boatse and Boatse scoring.,1.0,,,This comment refers to a specific event in the current game.
52121,europe_uefa-champions-league/2014-2015/2015-02-24 - 22-45 Manchester City 1 - 2 Barcelona,31:21,31:30,"Because the way it's going, Barcelona are completely dominating possession like we thought they would.",1.0,,,This comment refers to the current match statistics and events.
99716,germany_bundesliga/2015-2016/2015-09-12 - 16-30 Bayern Munich 2 - 1 FC Augsburg,19:44,19:56,Vertrag verlängert bis 2019.,1.0,,,This comment contains supplementary information about player's contract extension.
145152,italy_serie-a/2016-2017/2017-01-22 - 22-45 AS Roma 1 - 0 Cagliari,07:34,07:37,Рома Калири пока 0-0.,1.0,,,The comment provides the current score of the match.
63373,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Real Madrid 4 - 0 Shakhtar Donetsk,22:53,23:16,"No es fácil quitarle la pelota al Shakhtar, es más fácil apretarles arriba y quizás quitarle el balón a los centrales, a los defensas en inicio de juego, que a los jugadores de arriba, porque todos tienen un porcentaje muy alto de acierto en el pase, toman buenas decisiones.",1.0,,,This comment contains statistical information about the players' passing accuracy and decision-making.
77954,europe_uefa-champions-league/2015-2016/2015-11-25 - 20-00 CSKA Moscow 0 - 2 Wolfsburg,13:59,14:08,They finished third in their group under Armin Vey.,1.0,,,This comment refers to past team performance and manager.
9061,england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa,04:33,04:41,Стал героем Астанвиллы в этот вечер.,1.0,,,This comment refers player's performance in the current game.
54935,europe_uefa-champions-league/2014-2015/2015-03-11 - 22-45 Bayern Munich 7 - 0 Shakhtar Donetsk,05:19,05:27,They have got another corner as Luis Adriano challenged.,1.0,,,This comment refers to a specific event in the current game.
11236,england_epl/2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom,13:27,13:35,Son dos equipos que crean muy pocas ocasiones.,1.0,,,This comment contains a statistic about the teams' performance in creating goal-scoring opportunities.
115358,italy_serie-a/2014-2015/2015-04-25 - 21-45 Inter 2 - 1 AS Roma,31:13,31:25,"The opponent has been sitting deep, letting Roma keep possession, so the run-out of ideas has worked.",1.0,,,This comment refers to the current match strategy and possession statistics.
124723,italy_serie-a/2016-2017/2016-09-11 - 16-00 AC Milan 0 - 1 Udinese,02:54,03:07,Греки играли на выезде против Гибралтара.,1.0,,,This comment contains supplementary information about a past match of the player.
206584,spain_laliga/2016-2017/2017-04-23 - 21-45 Real Madrid 2 - 3 Barcelona,35:05,35:07,Recorta el primero.,1.0,,,This comment refers to a specific event in the current game.
171683,spain_laliga/2014-2015/2015-05-23 - 21-30 Real Madrid 7 - 3 Getafe,38:14,38:58,En la anterior ocasión como os indicaba cuando fue el penalti de Cristiano Ronaldo ya se acercó a la zona de banquillos a que le mirasen los médicos tenía lo dicho molestias a la altura del glúteo izquierdo más que el glúteo ya lo vemos como es un poquito la zona más baja ya la zona del muslo así que el Real Madrid probablemente se ha obligado a realizar el cambio de hecho ya estaban incluso listo y dispuesto se ha quitado el peto va a realizar el cambio el Real Madrid Pepe que ha hecho el último servicio al imperio blanco como indice cortando esta jugada en la cual ha terminado de romperse el central.,1.0,,,This comment contains detailed information about the players' physical condition and potential substitution.
29458,england_epl/2016-2017/2016-10-17 - 22-00 Liverpool 0 - 0 Manchester United,04:45,04:54,"That's the best goal for Ibrahimovic, and there's another tackle, and Liverpool are clearly out to make fire with fire.",1.0,,,This comment refers to the number of challenges and a specific player's performance.
